Frame: 0, ID: 1, BBox: [313, 51, 181, 332], Confidence: 0.92
Frame: 0, ID: 2, BBox: [197, 216, 206, 167], Confidence: 0.92
Frame: 0, ID: 3, BBox: [554, 219, 85, 164], Confidence: 0.90
Frame: 0, ID: 4, BBox: [143, 304, 102, 79], Confidence: 0.61
Frame: 0, ID: 5, BBox: [170, 265, 40, 45], Confidence: 0.26
Frame: 1, ID: 1, BBox: [196, 216, 207, 167], Confidence: 0.92
Frame: 1, ID: 2, BBox: [313, 51, 181, 332], Confidence: 0.92
Frame: 1, ID: 3, BBox: [554, 219, 85, 164], Confidence: 0.90
Frame: 1, ID: 4, BBox: [140, 304, 105, 79], Confidence: 0.59
Frame: 1, ID: 5, BBox: [169, 265, 39, 46], Confidence: 0.29
Frame: 2, ID: 1, BBox: [313, 51, 181, 332], Confidence: 0.92
Frame: 2, ID: 2, BBox: [196, 216, 207, 167], Confidence: 0.92
Frame: 2, ID: 3, BBox: [554, 218, 85, 165], Confidence: 0.89
Frame: 2, ID: 4, BBox: [125, 304, 120, 79], Confidence: 0.59
Frame: 3, ID: 1, BBox: [196, 216, 207, 167], Confidence: 0.92
Frame: 3, ID: 2, BBox: [313, 51, 181, 332], Confidence: 0.92
Frame: 3, ID: 3, BBox: [554, 218, 85, 165], Confidence: 0.90
Frame: 3, ID: 4, BBox: [126, 306, 119, 77], Confidence: 0.48
Frame: 4, ID: 1, BBox: [196, 216, 207, 167], Confidence: 0.92
Frame: 4, ID: 2, BBox: [313, 51, 181, 332], Confidence: 0.92
Frame: 4, ID: 3, BBox: [554, 218, 85, 165], Confidence: 0.89
Frame: 4, ID: 4, BBox: [125, 308, 120, 75], Confidence: 0.47
Frame: 5, ID: 1, BBox: [196, 216, 207, 167], Confidence: 0.93
Frame: 5, ID: 2, BBox: [313, 50, 181, 333], Confidence: 0.92
Frame: 5, ID: 3, BBox: [554, 218, 85, 165], Confidence: 0.90
Frame: 5, ID: 4, BBox: [124, 308, 121, 75], Confidence: 0.52
Frame: 6, ID: 1, BBox: [195, 216, 208, 167], Confidence: 0.92
Frame: 6, ID: 2, BBox: [313, 50, 181, 333], Confidence: 0.92
Frame: 6, ID: 3, BBox: [554, 218, 85, 165], Confidence: 0.90
Frame: 6, ID: 4, BBox: [122, 307, 123, 76], Confidence: 0.52
Frame: 6, ID: 6, BBox: [111, 309, 186, 74], Confidence: 0.26
Frame: 7, ID: 1, BBox: [313, 51, 181, 332], Confidence: 0.93
Frame: 7, ID: 2, BBox: [195, 216, 208, 167], Confidence: 0.92
Frame: 7, ID: 3, BBox: [554, 218, 85, 165], Confidence: 0.89
Frame: 7, ID: 4, BBox: [123, 307, 122, 76], Confidence: 0.51
Frame: 8, ID: 1, BBox: [313, 51, 182, 332], Confidence: 0.92
Frame: 8, ID: 2, BBox: [195, 216, 208, 167], Confidence: 0.92
Frame: 8, ID: 3, BBox: [554, 217, 85, 166], Confidence: 0.89
Frame: 8, ID: 4, BBox: [125, 308, 120, 75], Confidence: 0.43
Frame: 9, ID: 1, BBox: [313, 51, 182, 332], Confidence: 0.93
Frame: 9, ID: 2, BBox: [195, 215, 210, 168], Confidence: 0.92
Frame: 9, ID: 3, BBox: [554, 217, 85, 166], Confidence: 0.89
Frame: 9, ID: 4, BBox: [125, 308, 118, 75], Confidence: 0.39
Frame: 10, ID: 1, BBox: [195, 215, 210, 168], Confidence: 0.93
Frame: 10, ID: 2, BBox: [313, 51, 182, 332], Confidence: 0.92
Frame: 10, ID: 3, BBox: [554, 218, 85, 165], Confidence: 0.89
Frame: 10, ID: 4, BBox: [135, 306, 106, 77], Confidence: 0.36
Frame: 10, ID: 7, BBox: [133, 270, 108, 113], Confidence: 0.28
Frame: 11, ID: 1, BBox: [195, 215, 209, 168], Confidence: 0.93
Frame: 11, ID: 2, BBox: [313, 51, 183, 332], Confidence: 0.92
Frame: 11, ID: 3, BBox: [555, 218, 84, 165], Confidence: 0.89
Frame: 11, ID: 4, BBox: [135, 306, 105, 77], Confidence: 0.40
Frame: 12, ID: 1, BBox: [194, 215, 210, 168], Confidence: 0.92
Frame: 12, ID: 2, BBox: [314, 50, 182, 333], Confidence: 0.92
Frame: 12, ID: 3, BBox: [555, 217, 84, 166], Confidence: 0.88
Frame: 12, ID: 4, BBox: [134, 307, 106, 76], Confidence: 0.44
Frame: 13, ID: 1, BBox: [314, 50, 182, 333], Confidence: 0.92
Frame: 13, ID: 2, BBox: [194, 215, 210, 168], Confidence: 0.92
Frame: 13, ID: 3, BBox: [555, 217, 84, 166], Confidence: 0.88
Frame: 13, ID: 4, BBox: [140, 290, 101, 93], Confidence: 0.46
Frame: 14, ID: 1, BBox: [314, 49, 182, 334], Confidence: 0.93
Frame: 14, ID: 2, BBox: [194, 215, 209, 168], Confidence: 0.92
Frame: 14, ID: 3, BBox: [555, 217, 84, 166], Confidence: 0.88
Frame: 14, ID: 4, BBox: [139, 300, 102, 83], Confidence: 0.51
Frame: 14, ID: 8, BBox: [135, 269, 106, 114], Confidence: 0.34
Frame: 15, ID: 1, BBox: [314, 49, 182, 334], Confidence: 0.93
Frame: 15, ID: 2, BBox: [194, 214, 210, 169], Confidence: 0.92
Frame: 15, ID: 3, BBox: [555, 217, 84, 166], Confidence: 0.88
Frame: 15, ID: 4, BBox: [141, 303, 100, 80], Confidence: 0.58
Frame: 15, ID: 8, BBox: [140, 268, 101, 115], Confidence: 0.30
Frame: 16, ID: 1, BBox: [315, 50, 181, 333], Confidence: 0.92
Frame: 16, ID: 2, BBox: [195, 214, 209, 169], Confidence: 0.92
Frame: 16, ID: 3, BBox: [555, 217, 84, 166], Confidence: 0.88
Frame: 16, ID: 4, BBox: [140, 302, 101, 81], Confidence: 0.58
Frame: 16, ID: 8, BBox: [135, 266, 105, 117], Confidence: 0.41
Frame: 17, ID: 1, BBox: [315, 50, 181, 333], Confidence: 0.92
Frame: 17, ID: 2, BBox: [196, 214, 207, 169], Confidence: 0.92
Frame: 17, ID: 3, BBox: [555, 217, 84, 166], Confidence: 0.88
Frame: 17, ID: 4, BBox: [134, 267, 106, 116], Confidence: 0.51
Frame: 17, ID: 8, BBox: [136, 304, 105, 79], Confidence: 0.47
